X,Y,Name,Longitude,Latitude,Altitude (,Comments,Support He,Support Ty,of UL CEs,of DL CEs,Max Iub UL,Max Iub DL,Equipment,of EV-DO C,Max Backha,Max Backha_1,Alias,Operator,ID_Vtal,Name_2,icon_url
-46.680470000029,-23.5349999988423,Claro_684927012,-46,-23,,R CAIUBI,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6309500000292,-23.5551199988417,Claro_534592112,-46,-23,,R DOS ESTUDANTES,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6474500000292,-23.546479998842,Claro_683887637,-46,-23,,R AMARAL GURGEL,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6422200000291,-23.5166599988429,Claro_659051214,-46,-23,,AV OLAVO FONTOURA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6666700000291,-23.545559998842,Claro_1010112187,-46,-23,,"AVENIDA ARNOLFO AZEVEDO, 231, PACAEMBU",50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6528800000292,-23.5634999988414,Claro_1010205738,-46,-23,,AV PAULISTA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6730000000291,-23.5608999988415,Claro_431055688,-46,-23,,AV REBOUÇAS,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6579100000291,-23.5477699988419,Claro_1008537770,-46,-23,,R SERGIPE,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.681540000029,-23.5280899988425,Claro_690598793,-46,-23,,R VENÂNCIO AIRES,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6435000000292,-23.547199998842,Claro_687980208,-46,-23,,R DA CONSOLAÇÃO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.687780000029,-23.5588899988415,Claro_1004665617,-46,-23,,"RUA INÁCIO PEREIRA DA ROCHA, 41 , PINHEIROS",50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6453800000292,-23.5494999988419,Claro_534888372,-46,-23,,R MARTINS FONTES,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.741410000029,-23.6437799988387,Claro_1007676423,-46,-23,,R ISAÍAS BRANCO DE ARAÚJO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6336000000292,-23.5359999988423,Claro_687686105,-46,-23,,AV PRESTES MAIA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6417000000292,-23.545009998842,Claro_499999460,-46,-23,,R DOM JOSÉ DE BARROS,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.679350000029,-23.5404099988421,Claro_683841920,-46,-23,,R IPEROIG,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6367000000292,-23.5594999988416,Claro_2164035,-46,-23,,R FAGUNDES,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6622900000291,-23.5588499988416,Claro_442158556,-46,-23,,AL SANTOS,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6566000000291,-23.5532599988417,Claro_683887840,-46,-23,,R BELA CINTRA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6509800000292,-23.5593924988416,Claro_534591981,-46,-23,,R SILVIA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6541000000292,-23.5574999988416,Claro_689126034,-46,-23,,R DONA ADMA JAFET,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6551700000292,-23.5585499988416,Claro_683889133,-46,-23,,R PEIXOTO GOMIDE,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6333200000292,-23.5426999988421,Claro_683942468,-46,-23,,R FLORÊNCIO DE ABREU,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6656000000291,-23.5555599988417,Claro_3428370,-46,-23,,R MINAS GERAIS,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
